Club,Position(s),Base Salary,Guaranteed Compensation,Name,id,rating,player_image,player_name,country_image,league_image,position,club,league,pace,shooting,passing,dribbling,defending,physical,limit
Atlanta United,D,"$700,000.00","$737,500.00",Miles Robinson,29982d44-dbe3-11ed-af20-acde48001122,70,,Miles Robinson,,,CB,Atlanta United,Major League Soccer,81,33,47,53,69,76,2000
Atlanta United,D,"$700,000.00","$737,500.00",Miles Robinson,29982d44-dbe3-11ed-af20-acde48001122,70,,Miles Robinson,,,CB,Atlanta United,Major League Soccer,81,33,47,53,69,76,2500
Atlanta United,D,"$700,000.00","$737,500.00",Miles Robinson,29982d44-dbe3-11ed-af20-acde48001122,70,,Miles Robinson,,,CB,Atlanta United,Major League Soccer,81,33,47,53,69,76,3000
Atlanta United,D,"$700,000.00","$737,500.00",Miles Robinson,29982d44-dbe3-11ed-af20-acde48001122,70,,Miles Robinson,,,CB,Atlanta United,Major League Soccer,81,33,47,53,69,76,3500
Seattle Sounders FC,M,"$860,000.00","$981,542.00",Cristian Roldan,04995806-dbde-11ed-af20-acde48001122,75,,Cristian Roldan,,,CDM,Sounders FC,Major League Soccer,71,67,70,75,70,79,500
Seattle Sounders FC,M,"$860,000.00","$981,542.00",Cristian Roldan,04995806-dbde-11ed-af20-acde48001122,75,,Cristian Roldan,,,CDM,Sounders FC,Major League Soccer,71,67,70,75,70,79,1000
Seattle Sounders FC,M,"$860,000.00","$981,542.00",Cristian Roldan,04995806-dbde-11ed-af20-acde48001122,75,,Cristian Roldan,,,CDM,Sounders FC,Major League Soccer,71,67,70,75,70,79,1500
Seattle Sounders FC,M,"$860,000.00","$981,542.00",Cristian Roldan,04995806-dbde-11ed-af20-acde48001122,75,,Cristian Roldan,,,CDM,Sounders FC,Major League Soccer,71,67,70,75,70,79,2000
Seattle Sounders FC,M,"$860,000.00","$981,542.00",Cristian Roldan,04995806-dbde-11ed-af20-acde48001122,75,,Cristian Roldan,,,CDM,Sounders FC,Major League Soccer,71,67,70,75,70,79,2500
Seattle Sounders FC,M,"$860,000.00","$981,542.00",Cristian Roldan,04995806-dbde-11ed-af20-acde48001122,75,,Cristian Roldan,,,CDM,Sounders FC,Major League Soccer,71,67,70,75,70,79,3000
Seattle Sounders FC,M,"$860,000.00","$981,542.00",Cristian Roldan,04995806-dbde-11ed-af20-acde48001122,75,,Cristian Roldan,,,CDM,Sounders FC,Major League Soccer,71,67,70,75,70,79,3500
Sporting Kansas City,M,"$475,000.00","$475,000.00",Oriol Rosell,1721a482-dbe4-11ed-af20-acde48001122,69,,Oriol Rosell,,,CDM,Sporting KC,Major League Soccer,36,56,66,66,66,69,1000
Sporting Kansas City,M,"$475,000.00","$475,000.00",Oriol Rosell,1721a482-dbe4-11ed-af20-acde48001122,69,,Oriol Rosell,,,CDM,Sporting KC,Major League Soccer,36,56,66,66,66,69,1500
Sporting Kansas City,M,"$475,000.00","$475,000.00",Oriol Rosell,1721a482-dbe4-11ed-af20-acde48001122,69,,Oriol Rosell,,,CDM,Sporting KC,Major League Soccer,36,56,66,66,66,69,2000
Sporting Kansas City,M,"$475,000.00","$475,000.00",Oriol Rosell,1721a482-dbe4-11ed-af20-acde48001122,69,,Oriol Rosell,,,CDM,Sporting KC,Major League Soccer,36,56,66,66,66,69,2500
